gt,pred,rouge1,rouge2,rougeL,bleu,meteor,wer
once when i was six years old i saw a magnificent picture in a book called true stories from nature about the primeval forest,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it,0.125,0.0,0.08333333333333333,9.788429383461836e-232,0.08333333333333333,1.0
it was a picture of a boa constrictor in the act of swallowing an animal,extraordinary i to said your no goodbye in so i said all i is now,0.06666666666666667,0.0,0.06666666666666667,9.257324954728539e-232,0.03333333333333333,1.0
here is a copy of the drawing,extraordinary i to said your no goodbye,0.0,0.0,0.0,1.1200407237786664e-231,0.0,1.0
in the book it said boa constrictors swallow their prey whole without chewing it,extraordinary i to said your no goodbye in so i said all i is,0.14285714285714285,0.0,0.14285714285714285,9.418382295637229e-232,0.10714285714285715,1.0
after that they are not able to move and they sleep through the six months that they need for digestion i pondered deeply then over the adventures of the jungle,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on,0.13333333333333333,0.0,0.13333333333333333,9.257324954728539e-232,0.06666666666666667,0.9666666666666667
and after some work with a coloured pencil i succeeded in making my first drawing,extraordinary i to said your no goodbye in so i said all i is now,0.13333333333333333,0.0,0.13333333333333333,9.257324954728539e-232,0.06666666666666667,1.0
my drawing number one,extraordinary i to said,0.0,0.0,0.0,1.2882297539194154e-231,0.125,1.0
it looked like this i showed my masterpiece to the grownups and asked them whether the drawing frightened them,extraordinary i to said your no goodbye in so i said all i is now which said man thought,0.10526315789473684,0.0,0.10526315789473684,8.726094729337945e-232,0.05263157894736842,1.0
but they answered frighten,extraordinary i to said,0.0,0.0,0.0,1.2882297539194154e-231,0.0,1.0
why should any one be frightened by a hat my drawing was not a picture of a hat,extraordinary i to said your no goodbye in so i said all i is now which said man,0.0,0.0,0.0,8.844844403089352e-232,0.10416666666666666,1.0
it was a picture of a boa constrictor digesting an elephant,extraordinary i to said your no goodbye in so i said,0.0,0.0,0.0,1.1896457329133973e-231,0.0,1.0
but since the grown ups were not able to understand it i made another drawing i drew the inside of the boa constrictor so that the grownups could see it clearly,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble,0.1935483870967742,0.0,0.12903225806451613,9.181748633447778e-232,0.0967741935483871,1.0
they always need to have things explained,extraordinary i to said your no goodbye,0.14285714285714285,0.0,0.14285714285714285,1.1200407237786664e-231,0.07142857142857142,1.0
my drawing number two looked like this the grownups response this time was to advise me to lay aside my drawings of boa constrictors whether from the inside or the outside and devote myself instead to geography history arithmetic and grammar,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on fumble funny much shop asked out own you millions stars way,0.07317073170731707,0.025000000000000005,0.07317073170731707,8.561894227089738e-232,0.04878048780487805,0.975609756097561
that is why at the age of six i gave up what might have been a magnificent career as a painter,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place,0.09523809523809523,0.0,0.09523809523809523,1.012071042130996e-231,0.047619047619047616,1.0
i had been disheartened by the failure of my drawing number one and my drawing number two,extraordinary i to said your no goodbye in so i said all i is now which said,0.058823529411764705,0.0,0.058823529411764705,8.972141065609098e-232,0.058823529411764705,1.0
grownups never understand anything by themselves and it is tiresome for children to be always and forever explaining things to them,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place,0.09523809523809523,0.0,0.047619047619047616,1.012071042130996e-231,0.047619047619047616,1.0
so then i chose another profession and learned to pilot airplanes,extraordinary i to said your no goodbye in so i said,0.2727272727272727,0.0,0.18181818181818182,1.0003688322288243e-231,0.13636363636363635,1.0
i have flown a little over all parts of the world and it is true that geography has been very useful to me,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some,0.17391304347826086,0.0,0.13043478260869565,8.319100378795605e-232,0.10869565217391304,0.9565217391304348
at a glance i can distinguish china from arizona,extraordinary i to said your no goodbye in so,0.1111111111111111,0.0,0.1111111111111111,1.0518351895246305e-231,0.05555555555555555,1.0
if one gets lost in the night such knowledge is valuable,extraordinary i to said your no goodbye in so i said,0.09090909090909091,0.0,0.09090909090909091,1.0003688322288243e-231,0.09090909090909091,1.0
in the course of this life i have had a great many encounters with a great many people who have been concerned with matters of consequence,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then,0.07692307692307693,0.0,0.07692307692307693,8.06798322521923e-232,0.038461538461538464,1.0
i have lived a great deal among grownups,extraordinary i to said your no goodbye in,0.125,0.0,0.125,1.0832677820940877e-231,0.0625,1.0
i have seen them intimately close at hand,extraordinary i to said your no goodbye in,0.125,0.0,0.125,8.436497969708995e-232,0.0625,1.0
and that hasnt much improved my opinion of them,extraordinary i to said your no goodbye in so,0.0,0.0,0.0,1.0518351895246305e-231,0.0,1.0
whenever i met one of them who seemed to me at all clearsighted i tried the experiment of showing him my drawing number one which i have always kept,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns,0.2413793103448276,0.0,0.20689655172413793,7.850707993042515e-232,0.13793103448275862,0.9310344827586207
i would try to find out so if this was a person of true understanding,extraordinary i to said your no goodbye in so i said all i is now,0.20000000000000004,0.0,0.20000000000000004,9.257324954728539e-232,0.10000000000000002,1.0
but whoever it was he or she would always say that is a hat then i would never talk to that person about boa constrictors or primeval forests or stars,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on,0.16666666666666666,0.0,0.06666666666666667,7.784451369270533e-232,0.11666666666666667,1.0
i would bring myself down to his level,extraordinary i to said your no goodbye in,0.25,0.0,0.25,1.0832677820940877e-231,0.125,1.0
i would talk to him about bridge and golf and politics and neckties,extraordinary i to said your no goodbye in so i said all i,0.15384615384615385,0.0,0.15384615384615385,1.1409851298103347e-231,0.07692307692307693,1.0
and the grownup would be greatly pleased to have met such a sensible man,extraordinary i to said your no goodbye in so i said all i is,0.07142857142857142,0.0,0.07142857142857142,9.418382295637229e-232,0.07142857142857142,1.0
so i lived my life alone without anyone that i could really talk to until i had an accident with my plane in the desert of sahara six years ago,extraordinary i to said your no goodbye in so i said all i is now which said man thought i place because some it snake then from the thorns on,0.23333333333333334,0.034482758620689655,0.16666666666666666,7.784451369270533e-232,0.17734375,0.9333333333333333
